time [ms];Setpoint position [mm];Actual position value encoder channel 1 [mm];Setpoint value velocity controller [m/s];Actual velocity value encoder channel 1 [m/s];Target position CiA402 [mm]
328.000009059906;53.6634077;53.5888880;0.1016492;0.03019886;53.6830000
329.000025987625;53.6853511;53.6520093;-0.005480453;0.04799066;53.7890000
330.000013113022;53.6848115;53.6679238;-0.003363205;0.0268058;53.7890000
331.000030040741;53.6717686;53.6562414;0.02961021;0.003105634;53.7890000
332.000017166138;53.7695908;53.6978453;0.1004677;0.03058174;53.7890000
333.000004291534;53.7913291;53.7603706;-0.005660054;0.04780776;53.8940000
334.000021219254;53.7907944;53.7756294;-0.003505665;0.02632404;53.8940000
335.00000834465;53.7778745;53.7636489;0.02920217;0.002730457;53.8940000
336.000025272369;53.8747739;53.8042992;0.09945367;0.02979753;53.8940000
337.000012397766;53.8963071;53.8667053;-0.005725274;0.04743681;53.9980000
338.000029325485;53.8957773;53.8821429;-0.003626721;0.02630214;53.9980000
339.000016450882;53.8829805;53.8704009;0.02875575;0.00285963;53.9980000
340.000003576279;53.9789570;53.9098590;0.0984279;0.02901544;53.9980000
341.000020503998;54.0002852;53.9709538;-0.005669467;0.04645906;54.1010000
342.000007629395;53.9997603;53.9874047;-0.003719724;0.02662321;54.1010000
343.000024557114;53.9870864;53.9780469;0.0280983;0.004445852;54.1010000
344.00001168251;54.0821401;54.0194124;0.09684572;0.03076117;54.1010000
345.000028610229;54.1032632;54.0818780;-0.006468879;0.04795269;54.2030000
346.000015735626;54.1027432;54.0988058;-0.004608179;0.02740189;54.2030000
347.000002861023;54.0901924;54.0893287;0.02692435;0.004648079;54.2030000
348.000019788742;54.1843232;54.1299790;0.09503926;0.03038172;54.2030000
349.000006914139;54.2052412;54.1915506;-0.007240252;0.04721035;54.3050000
350.000023841858;54.2047432;54.2073458;-0.00533685;0.02643607;54.3050000
351.000010967255;54.1921924;54.1969151;0.02630193;0.003728545;54.3050000
352.000027894974;54.2863232;54.2364329;0.09454302;0.02937284;54.3050000
353.00001502037;54.3072412;54.2972892;-0.007656798;0.04642576;54.4050000
354.000002145767;54.3067090;54.3128460;-0.005631686;0.02602594;54.4050000
355.000019073486;54.2944043;54.3021173;0.02544272;0.003349039;54.4050000
356.000006198883;54.3866894;54.3412775;0.09229926;0.0289888;54.4050000
357.000023126602;54.4071973;54.4018358;-0.007996384;0.04607018;54.5040000
